Article title - Question,Article subtitle - Complementary,Article body - Answer,Article language,Article URL,Category,Keywords
How can I claim my Xpedition rewards?,This article walks you through claiming your Xpedition rewards on the Community Gaming platform:,"<p><strong>How to Claim Your Xpedition&nbsp;Rewards</strong></p>
<p>Claiming your Xpedition&nbsp;rewards on our platform is a straightforward process. We've outlined the steps below to guide you through it:</p>
<p><strong><br>Step 1: Visit 'Xpeditions'</strong></p>
<p style=""padding-left: 40px;"">Start by visiting the 'Xpedition' page on our platform. This is where you can view your Xpedition progress and available rewards.</p>
<p><strong>Step 2: Identify Your Rewards</strong></p>
<p style=""padding-left: 40px;"">Once on the 'Xpedition' page, keep an eye out for the 'Claim' button next to your available Xpedition&nbsp;rewards. This button indicates that you have rewards ready for claiming.</p>
<p><strong>Step 3: Claim Your Rewards</strong></p>
<p style=""padding-left: 40px;"">Click the 'Claim' button to initiate the process. You'll be guided to the reward claiming page.</p>
<p><strong>Step 4: Choose Your Wallet</strong></p>
<p style=""padding-left: 40px;"">Here, you have the option to select where you want your rewards to be deposited. You can choose from the following options:</p>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>Default Wallet: If you have a default wallet set up, you can claim your rewards directly to it.</li>
<li>Another Linked Wallet: If you've linked multiple wallets to your account, you can choose a specific one.</li>
<li>External Wallet: Alternatively, you can provide the details for an external wallet to receive your rewards.</li>
</ul>
</li>
</ul>
<p><strong>Step 5: Claim Without Fees (Gasless)</strong></p>
<p style=""padding-left: 40px;"">It's important to note that claiming your Xpedition reward is a free transaction. Community Gaming generously subsidizes this, so you won't incur any additional costs.</p>
<p>&nbsp;</p>
<p>If you encounter any issues or have questions during the process, our community support team is here to assist you.</p>",en,https://hubspot.communitygaming.io/help-center/how-can-i-claim-my-xpedition-rewards,XPeditions,"XP,claim prize,claim reward,crypto claim,crypto prize,wallet,wallet transfer,xpeditions"
What is a Cryptocurrency wallet?,This article provides a comprehensive overview of cryptocurrency wallets:,"<p><strong>Introduction to Cryptocurrency Wallets&nbsp;</strong></p>
<p>Cryptocurrency wallets play a vital role in the world of digital currency, allowing users to securely store, send, and receive cryptocurrencies like Bitcoin, Ethereum, and more. Let's delve into the details to understand the essence and functionality of cryptocurrency wallets.</p>
<p><strong>Core Functions of Cryptocurrency Wallets:</strong></p>
<ol>
<li>Secure Storage:
<ul>
<li>Cryptocurrency wallets protect digital assets using two cryptographic keys: a public key, used for receiving funds, and a private key, kept confidential for signing transactions and accessing the wallet.</li>
</ul>
</li>
<li>Sending and Receiving Cryptocurrency:
<ul>
<li>Sending Crypto: Users initiate transactions, inputting the recipient's public address and the amount, secured by their private key.</li>
<li>Receiving Crypto: Users share their wallet's public address with senders while safeguarding their private key for accessing the received funds.</li>
</ul>
</li>
</ol>
<p><strong>Types of Cryptocurrency Wallets:</strong></p>
<ol>
<li>Hot Wallets:
<ul>
<li>Online wallets accessible via the internet, offering convenience but susceptible to online threats.</li>
</ul>
</li>
<li>Cold Wallets:
<ul>
<li>Offline wallets like hardware or paper wallets, providing enhanced security by being immune to online hacking attempts.</li>
</ul>
</li>
<li>Mobile, Desktop, and Web Wallets:
<ul>
<li>Variants of hot wallets, categorized by the device or platform they operate on, such as mobile phones, computers, or web browsers.</li>
</ul>
</li>
</ol>
<p><strong>Security Aspects:</strong></p>
<ul>
<li>Private Key Management:</li>
</ul>
<p style=""padding-left: 40px;"">Wallet security relies on the confidentiality of the private key. Losing it can result in asset loss, while unauthorized access can lead to fund misappropriation.</p>
<ul>
<li>Recovery Phrases:</li>
</ul>
<p style=""padding-left: 40px;"">Many wallets offer a recovery phrase, a set of words used to recover the wallet if the private key is lost. Safeguarding this phrase is essential.</p>
<ul>
<li>Two-Factor Authentication (2FA):</li>
</ul>
<p style=""padding-left: 40px;"">An additional layer of security, often involving a dynamic code, ensures that knowledge of the password alone is insufficient to access the wallet.</p>
<p><br>Using a cryptocurrency wallet empowers you to engage in the digital economy, offering a secure means to manage your digital assets. Prioritize understanding wallet features and security aspects to choose one that aligns with your needs and usage patterns. Always emphasize secure management of private keys and recovery information.</p>
<p>For more insights and assistance, explore our Community Gaming Help Center, which provides a wealth of resources to guide your cryptocurrency journey.</p>",en,https://hubspot.communitygaming.io/help-center/what-is-a-cryptocurrency-wallet,Wallet,wallet
Why cannot I switch or unlink my default wallet?,This article explains why you might encounter an error when trying to change your default wallet on Community Gaming:,"<p>Switching your default wallet for a specific blockchain on Community Gaming isn't always possible due to operational and security reasons. Here's a breakdown of the main scenarios that can restrict this change:</p>
<ol>
<li><strong>Organizing a Tournament:</strong>
<ul>
<li>If a user's wallet is linked to a tournament they're currently organizing, switching it mid-way could lead to discrepancies and complications in prize distributions and transactions. This might disrupt the smooth operation of the event.</li>
</ul>
</li>
<li><strong>Active Tournament Participation:</strong>
<ul>
<li>When users are enrolled in an active tournament, their wallets may be connected to their participant profiles for potential prize allocation. Modifying the default wallet during the event can create challenges in awarding prizes or verifying participant authenticity.</li>
</ul>
</li>
<li>&nbsp;<strong>Pending Rewards:</strong>
<ul>
<li>A wallet with pending rewards indicates ongoing transactions that need to be settled. Changing the wallet during this process could result in the loss of rewards or a break in the transaction chain, potentially leading to failed transfers.</li>
</ul>
</li>
</ol>
<p>While these situations remain unresolved or active tournaments have not concluded, the option to switch default wallets is disabled. This measure is in place to maintain the integrity of transactions, reward distributions, and participant verifications within the blockchain and tournament ecosystems.</p>
<p>Always ensure that these factors are resolved before attempting to modify the default wallet. This ensures a smooth and error-free experience in blockchain activities and gaming tournaments.</p>
<p>&nbsp;</p>
<p><strong>For Further Assistance:</strong></p>
<p>If you've addressed the factors mentioned above and still encounter issues when trying to change your default wallet, we recommend reaching out to our community support team. They are here to provide additional help and guidance to ensure a smooth experience.</p>",en,https://hubspot.communitygaming.io/help-center/why-cannot-i-switch-or-unlink-my-default-wallet,Wallet,"Default wallet,Wallet error,Wallet issue"
What can I do if I'm having trouble claiming rewards on my device?,"Having Trouble Claiming Rewards on Community Gaming?
This article provides troubleshooting steps for various issues you might encounter:","<p><strong>Trouble claiming rewards on your device? Here's some steps that might help!</strong></p>
<p>&nbsp;</p>
<p><span style=""text-decoration: underline;"">For Metamask/Ronin/Sequence Wallet:</span></p>
<ol>
<li>Ensure your wallet is unlocked to initiate and approve transactions.</li>
<li>Verify your wallet is set to the correct blockchain (the same as the reward blockchain).</li>
</ol>
<p><span style=""text-decoration: underline;"">General Troubleshooting Steps:</span></p>
<ul>
<li>Try disabling gasless transactions within the transaction popup settings and attempt the claim again.</li>
<li>Experiment with a different browser as compatibility may vary.</li>
<li>Perform a hard refresh (Ctrl+F5 on Windows, Cmd+Shift+R on Mac) to resolve potential cache issues affecting the claiming process.</li>
</ul>
<p><span style=""text-decoration: underline;"">If these actions don't resolve the issue:</span></p>
<p>Capture Console Logs:</p>
<ol>
<li>Right-click your browser and choose ""Inspect"" (or press [Ctrl+Shift+I on Windows] or [Cmd+Option+I on Mac]).</li>
<li>Navigate to the ""Console"" tab.&nbsp;</li>
<li>While on the page with the issue, try claiming rewards to generate relevant logs.&nbsp;</li>
<li>Right-click within the ""Console"" tab and select ""Save as"" to download the logs.&nbsp;</li>
<li>Optionally, record a video of the process or take a screenshot to provide a clear understanding of the problem.&nbsp;</li>
<li>Contact Community Support: Share the saved console logs, video recording, or screenshots, along with a detailed explanation of the issue and any error messages, with our support team. This will expedite resolution.</li>
</ol>
Following these steps should help identify and resolve barriers to claiming rewards on your device. If issues persist, the information provided will assist our Community Support team in addressing the problem effectively.",en,https://hubspot.communitygaming.io/help-center/what-can-i-do-if-im-having-trouble-claiming-rewards-on-my-device,Wallet,"can't claim reward,claim reward error,crypto claim,crypto prize"
How do I link my Sequence Wallet?,This guide explains how to link your Sequence Wallet to the Community Gaming platform for transactions on the Polygon chain:,"<p><strong>Seamlessly Linking Your Sequence Wallet to Community Gaming</strong></p>
<p>If you're looking to connect your Sequence Wallet to our platform for Polygon chain transactions, follow these straightforward steps:</p>
<ol>
<li>Ensure Your Sequence Wallet is Set Up: Before you begin, make sure your Sequence Wallet is properly set up and you have access to it. Sign in to the wallet.&nbsp;</li>
<li>Access 'View my Wallets' Page: Log in to the Community Gaming (CG) platform,and navigate to the 'View my wallets' page.</li>
<li>Locate the Wallet Management Section: Within the 'View my wallets' page, find the 'Wallet Management' section. This is where you'll initiate the linking process.</li>
<li>Initiate the Connection: In 'Wallet Management,' click to link a new wallet and choose 'Sequence Wallet' from the options.&nbsp;</li>
<li>Follow the Prompts: Follow the on-screen prompts and provide the necessary information, such as your Sequence Wallet credentials or any other required details.&nbsp;</li>
<li>Confirm the Connection: Review the information you've provided for accuracy. Once you're satisfied that everything is correct, confirm the connection between your Sequence Wallet and our platform.</li>
</ol>
<p>By following these steps, you'll establish a secure and seamless connection between your Sequence Wallet and our platform. This connection will enable you to perform transactions on the Polygon chain with ease and confidence.</p>
<p>If you encounter any issues or have questions, please don't hesitate to reach out to our Community Support team for assistance. We're here to help you make the most of your Sequence Wallet and Community Gaming experience.</p>",en,https://hubspot.communitygaming.io/help-center/how-do-i-link-my-sequence-wallet,Wallet,"Default wallet,Sequence,Wallet error,add external wallet,wallet"
Can I change the email address registered to my Community Gaming account?,This article explains why you can't change the email address associated with your Community Gaming account:,"Changing the registered email address for a Community Gaming account is not possible because the email address is intricately linked to the CG blockchain wallet.<br><br>Each CG wallet is uniquely identified by the associated email address. Losing access to or changing the email address would result in a loss of wallet access and any stored funds.<br><br>This linkage between the email address and wallet is essential for security and identity verification, safeguarding your assets and account information.",en,https://hubspot.communitygaming.io/help-center/can-i-change-the-email-address-registered-to-my-community-gaming-account,Account,"Email login,Learn more,Login,Sign up,forgot email,wallet"
How can I claim my tournament rewards?,Step-by-step guide on how to claim your well-earned tournament reward prize.,"<p>Claiming your tournament reward on our platform is designed to be a seamless process. Here’s a detailed step-by-step guide on how to claim your well-earned prize:</p>
<p>&nbsp;</p>
<p>Step 1: Navigate to Your Wallets</p>
<p>Visit the ""<a href=""https://www.communitygaming.io/wallet"" rel=""noopener"">View My Wallet</a>"" page on the platform to manage and view all your digital assets.</p>
<p>&nbsp;</p>
<p>Step 2: Identify Your Prize</p>
<p>On this page, if you have a reward waiting, you'll notice a ""Claim Your Prize"" text along with a 'Claim' button. This indicates an available reward from a tournament you’ve participated in.</p>
<p>&nbsp;</p>
<p>Step 3: Explore Rewards Page</p>
<p>Clicking the 'Claim' button will take you to the ""Rewards"" page, a centralized spot where all your rewards across various blockchains are displayed.</p>
<p>&nbsp;</p>
<p>Step 4: Filter and Review</p>
<p>Your rewards are systematically sorted and can be viewed per blockchain, making it easy to locate and review them before claiming.</p>
<p>&nbsp;</p>
<p>Step 5: Begin the Claim Process</p>
<p>Identify the reward you want to claim and click on its corresponding 'CLAIM' button.</p>
<p>&nbsp;</p>
<p>Step 6: Select Your Wallet</p>
<ul>
<li>Choose where you’d like the reward to be deposited:</li>
<li>Default Wallet: Send it to your pre-selected default wallet for a faster process.</li>
<li>Another Linked Wallet: Opt to send it to a different wallet linked to your account.</li>
<li>External Wallet: Direct the funds to an external wallet by providing the necessary details.</li>
</ul>
<br><br>
<p>Step 7: Claim Without Fees</p>
<p>Finalize the claim! Importantly, claiming your tournament rewards is a free transaction, generously subsidized by Community Gaming, so there are no additional costs to worry about.</p>
<p>&nbsp;</p>
<p>If you encounter any issues or have questions, our support team is always ready to assist you. Remember, it’s crucial to ensure all wallet details are accurate to guarantee a smooth claiming process. Enjoy your rewards, and thank you for participating in our gaming community!</p>",en,https://hubspot.communitygaming.io/help-center/how-can-i-claim-my-tournament-rewards,Wallet,"Semi-occasionally asked,claim prize,claim reward,prize"
Can I claim my rewards on my mobile phone browser?,"Claiming rewards on mobile with Community Gaming is possible! If you encounter issues, follow these steps below:","<ul>
<li><strong>Is it Possible?</strong></li>
</ul>
<p>Yes, you can claim rewards through your mobile browser on the Community Gaming platform.</p>
<ul>
<li><strong>Facing Issues?</strong></li>
</ul>
<p>If you encounter any technical or compatibility problems, follow these steps:</p>
<p><span style=""text-decoration: underline;"">Step 1: Note Specifics</span></p>
<p style=""padding-left: 40px;"">Make a note of any error messages and the steps you took before the issue occurred.</p>
<p><span style=""text-decoration: underline;"">Step 2: Try an Alternate</span></p>
<p style=""padding-left: 40px;"">Browser While waiting for a response, experiment with a different browser or device if possible to see if the problem persists.</p>
<p><span style=""text-decoration: underline;"">Step 3: Contact Support</span></p>
<p style=""padding-left: 40px;"">Share the details, including your device type and browser, with our support team for prompt assistance.</p>
<p><br>We're dedicated to making the reward-claiming process smooth across all devices.</p>",en,https://hubspot.communitygaming.io/help-center/can-i-claim-my-rewards-on-my-mobile-phone-browser,Wallet,"Can't claim reward mobile,claim reward,claim reward error"
Where can I find the Discord server for the tournament?,This article highlights where a listed discord server can be found if the organizer has shared a public discord invite for their tournament. ,"<p>Finding Discord Information:</p>
<ul>
<li>If a tournament organizer decides to share a Discord server for participants, the server is usually available on the tournament registration page. Check the tournament description or look for a 'Join Tournament' button at the top of the page.</li>
<li>No Server:
<ul>
<li>If a Discord link cannot be located, participants can contact the organizer through the method provided in the tournament description.</li>
<li>Not all tournaments have a dedicated Discord server, depending on the organizer's preference and the tournament's scale.</li>
</ul>
</li>
</ul>",en,https://hubspot.communitygaming.io/help-center/where-can-i-find-the-discord-server-for-the-tournament,Tournament Support,"Social Media,Socials,claim prize,claim reward,crypto claim,tournament organizer,tourney"
"What should I do if I cannot link my social media to Community Gaming (Discord, X)?",The article is about troubleshooting issues linking your social media account to Community Gaming. ,"<p>If you're having trouble linking your X or Discord account, there are a few things you can try:</p>
<ul>
<li><strong>Wait and Retry:</strong> Sometimes, there are temporary glitches on our platform, on X, or Discord's end that can cause problems linking accounts.&nbsp;</li>
<li><strong>Switch Browser/Device: </strong>Try using a different browser or device. Sometimes, using a different browser or device can fix the problem. -</li>
<li><strong>Contact support:</strong>&nbsp;If you're still having trouble linking your account after trying the above steps, please contact our community support team for further assistance.</li>
</ul>
We appreciate your patience and understanding as we work to ensure a smooth experience on our platform.",en,https://hubspot.communitygaming.io/help-center/what-should-i-do-if-i-cannot-link-my-social-media-to-community-gaming-discord-twitter,Account,"Link account,Social Media,account"
¿Cómo obtengo acceso de organizador de torneos en Communitygaming.io?,Este artículo lo invita a solicitar acceso al Panel del organizador de torneos de Community Gaming. Este panel le permite crear y administrar sus propios torneos en la plataforma.,"<p>¡Estamos encantados de que estés ansioso por organizar un torneo en la plataforma Community Gaming!</p>
Para crear su primer evento como organizador de torneos, necesitará acceso al Panel del organizador de torneos.<br><img alt=""organizer"" class=""hs-image-align-none"" height=""249"" style=""width: 688px; height: auto;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/organizer.png"" width=""688"" loading=""lazy""><br><br>¡Nos encantaría conocerte! Solicite acceso al Panel del organizador del torneo <a href=""https://forms.monday.com/forms/81e705195b1ed35ae961b30086a16790?r=use1"" target=""_blank"" rel=""noopener"">aquí.</a>",es,https://hubspot.communitygaming.io/es/help-center/cómo-obtengo-acceso-de-organizador-de-torneos-en-communitygaming.io,Organizer Support,"Ayuda para Organizadores,Organizador de Torneos,Organizadores,Panel de Organizador"
Failed to claim Xpedition reward,This article explains two reasons why claiming Xpedition rewards might fail and what to do in those situations:,"There are two main reasons why claiming an Xpedition reward might fail: <br><br>
<ul>
<li><strong>Temporary Gasless Transaction Outage:</strong> Occasionally, our gasless transaction functionality may be temporarily unavailable. This means claiming rewards requires gas fees, which can lead to slow processing or failed transactions if the network is congested.</li>
<li><strong>Transaction Processing Backlog: </strong>During peak times or periods with high activity, a large number of transactions can be queued for processing. This can lead to slower processing times and potential failures.</li>
</ul>
<br><strong>What should I do if I can't claim my reward? </strong><br><br>
<ol>
<li>Be patient: In most cases, the system will catch up and process your claim shortly. We recommend waiting a few minutes and trying again.</li>
<li>Retry later: If the issue persists after a few minutes, try again later when the network is less busy.</li>
<li>Contact support: If you've waited 48 hours and still haven't been able to claim your reward, please contact our support team for further assistance. They can investigate the issue and help you resolve it.</li>
</ol>
<br><strong>Remember:</strong> <br><br>
<ul>
<li>Gasless transactions are typically the preferred method for claiming rewards as they avoid gas fees. However, temporary outages can occur.</li>
<li>During peak times, transaction processing may be slower than usual. Be patient and try again later if you encounter delays.</li>
<li>If the issue persists for more than 48 hours, don't hesitate to reach out to our support team for individual assistance.</li>
</ul>
<br>We hope this information helps!",en,https://hubspot.communitygaming.io/help-center/failed-to-claim-xpedition-reward,XPeditions,"can't claim reward,claim reward error,crypto claim,questing,rewards,xpeditions"
XPeditions is live in my country and I have already successfully completed some quests. Why was my access to XPeditions revoked?,,"<div aria-setsize=""-1"" data-qa=""virtual-list-item"" data-item-key=""1704763712.089459"">
<div data-qa=""message_container"" data-qa-unprocessed=""false"" data-qa-placeholder=""false"">
<div aria-roledescription=""message"" data-qa-hover=""true"">
<div>
<div>
<div data-qa=""message_content"">
<div>
<div data-qa=""message-text"">
<div data-qa=""block-kit-renderer"">
<div>
<div dir=""auto"">
<div>Access to XPeditions is reserved for users verified/authenticated by our robust security system. Suspicious activity may trigger revocation of access to the program.<br><br>If you feel that your account has been misidentified as a bot, please contact our community support team.</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<div aria-setsize=""-1"" data-qa=""virtual-list-item"" data-item-key=""1704772800000divider"">
<div data-stringify-ignore=""true"">&nbsp;</div>
</div>",en,https://hubspot.communitygaming.io/help-center/why-was-my-access-to-xpeditions-revoked,XPeditions,"XP,questing,xpeditions"
"Xpedition reward claimed, but it doesn't show in wallets page",This article assures you that a slight delay in seeing your Xpedition reward balance update is normal.,"Don't worry! It's perfectly normal for your wallets page balance to update slightly later after claiming an Xpedition reward. Our system processes thousands of transactions every hour, and to maintain optimal performance, we update balances on the wallets page every 5 minutes. <br><br><strong>Checking Your Claim Status:</strong> <br><br>While you wait for your balance to update, you can easily confirm your claim went through by checking its status on the wallets page. Simply navigate to the bottom of the table and look for the completed transaction associated with your Xpedition reward. <br><br>If 5 minutes have passed and the transaction still shows as pending, or if you encounter any other issues, please don't hesitate to contact our support team for assistance. <br><br><strong>Remember:</strong> <br><br>
<ul>
<li>Claims typically reflect in your balance within 5 minutes.</li>
<li>You can verify claim completion by checking the transaction status on the wallets page.</li>
<li>Our support team is always happy to help if you are still missing your reward after 48hours of the transaction in the processing stage.</li>
</ul>
<br>We hope this explanation eases your concerns and allows you to enjoy your Xpedition rewards!",en,https://hubspot.communitygaming.io/help-center/xpedition-reward-claimed-but-it-doesnt-show-in-wallets-page,XPeditions,"XP,claim prize,claim reward,crypto claim,crypto prize,questing,rewards,xpeditions"
Creating/Organizing a tournament on Community Gaming,Guide on creating a tournament on Community Gaming,"<h3><strong>Getting Organizer Access</strong></h3>
<p>First you will need permission on your Community Gaming account to create your own tournaments on the platform. If you don’t already have dashboard access, <a href=""https://forms.monday.com/forms/81e705195b1ed35ae961b30086a16790?r=use1"">apply here to become an organizer</a>!<br><img class=""hs-image-align-none"" height=""168"" style=""width: 624px; height: auto;"" src=""https://lh7-us.googleusercontent.com/XS5OnydYhK3ws8CC7GsIT9jPIuGt3QQkIvvQv8bB1FRXn5phkAM4xQT2uCICKY0P5Dn3NptbtNuCO8K_-jOeywLQToYee3eX9diTC77YPZCSyYC7ar83Z5rSdQs_vf0LdTJi5XeYcbaFq1bZhrCies0"" width=""624"" loading=""lazy""></p>
<p><strong>Tournament Type</strong></p>
<p>Now you will have a brand new button on the top of the Community Gaming Homepage next to ‘My Tournaments’ called ‘<a href=""https://www.communitygaming.io/organizer"">Organizer</a>’‘. This will bring you to your tournament creation dashboard with a list of all of the tournaments that you have created and are currently running. Note: If you’ve received organizer access you should Logout and Log into CG again.<br><img alt=""private to (1)"" class=""hs-image-align-none"" height=""372"" style=""height: auto; width: 688px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/private%20to%20(1).png"" width=""688"" loading=""lazy""></p>
<p>Once you click ‘<a href=""https://www.communitygaming.io/newTournament"">Create New Tournament</a>’ it will bring you to the first set of options. This is where you will decide what type of tournament you want to create as well as other basic details like the name, game, date, the custom URL and whether or not your tournament will be public or private.</p>
<p>You can make your tournament private by toggling the button at the bottom of the basic information that says ‘Private Tournament’. With private mode, your tournament won't be shown on the explore page, players will only be able to find the tournament page if you share a tournament page link.</p>
<p><strong>Crypto Tournaments:</strong> These are the tournaments that will be deployed on the blockchain. Utilizing this feature will mean you will have automatic payouts as soon as the tournament is complete. You will be able to see the transaction and be able to confirm that it has gone to the correct wallets that are correlated with that placement in the tournament. Single and Double elimination and Battle Royale formats available.</p>
<p>Have questions about blockchain tournaments? Check out our <a href=""https://communitygaming.io/faq"">FAQ</a>. You can also reach out to us through our support chat.</p>
<p><strong>Traditional Tournaments: </strong>These do not feature automatic payouts. The Organizer will manually send winnings to their competitors using digital payment solutions like Stripe or PayPal.&nbsp;</p>
<p>Once you have decided the type of tournament you want to create, click ‘Next Step’.</p>
<p><strong>Bracket Details</strong></p>
<p>Bracket formats include Single and Double elimination and a Battle Royale-style points system. Choose the type of bracket you want, the number of teams allowed to compete, and the number of members per team.</p>
<p><img alt=""brackets"" class=""hs-image-align-none"" height=""328"" style=""height: auto; width: 621px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/brackets.png"" width=""621"" loading=""lazy""></p>
<p>When choosing the number of members per team, do not include coaches or subs at this time. Once the members per team is above 1, you will be able to allow or enroll substitute players at the top of the page. Substitutes are great roles for back-up players, coaches and team managers. We highly recommend allowing users to report their own matches. As the admin, you can manually adjust a score if needed, but our self reporting feature allows players to report their own scores and upload a screenshot or video if needed.</p>
<p><strong>Tournament Details</strong></p>
<p><img alt=""VV testing"" class=""hs-image-align-none"" height=""333"" style=""height: auto; width: 688px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/VV%20testing.png"" width=""688"" loading=""lazy""></p>
<p>The tournament details is where you will be able to add your tournament’s descriptions, any stream information, rules, and any additional instructions you would like your competitors to know. This can be edited whenever you want and allows for hyperlinks and images embeds.</p>
<p><img alt=""live streaming"" class=""hs-image-align-none"" height=""189"" style=""height: auto; width: 619px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/live%20streaming.png"" width=""619"" loading=""lazy""></p>
<p>If you choose to livestream the tournament, you can add the stream link to this page and it will embed the stream to the event page once you are live on tournament day. This is completely optional. If you choose not to stream your event, do not toggle this button. Note that you can have all stream options available for your tournament, but you cannot have duplicated options</p>
<p><strong>Prizing</strong></p>
<p><strong>Standard Tournament</strong></p>
<p><img alt=""prize details"" class=""hs-image-align-none"" height=""532"" style=""height: auto; width: 621px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/prize%20details.png"" width=""621"" loading=""lazy""></p>
<p>Choose the currency of the prize pool and enter your total prize pool (also called prize pool target). Organizers of standard tournaments can fill in any information they’d like about how they are paying out their players.</p>
<p><img alt=""ppdist vv testing"" class=""hs-image-align-none"" height=""567"" style=""height: auto; width: 677px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/ppdist%20vv%20testing.png"" width=""677"" loading=""lazy""></p>
<p>Enter your payment distribution schedule for all your winning players. This distribution is completely up to you to decide if you’d like a wider payout for your players and more concentrated. You can payout up to the top 64 players with automated tournaments. As long as it adds up to 100% you will be good to move onto the next page!</p>
<p><strong>Crypto Tournament Payouts</strong></p>
<p>First you’ll choose whether your tournament is a free to enter or an entry fee tournament. Then you’ll need to decide which blockchain you want your tournament deployed on. We recommend the Polygon Blockchain for its extremely low fees and ability to pay all your top ranked players in one quick transaction (usually under 30 seconds).</p>
<p><img alt=""crypto"" class=""hs-image-align-none"" height=""271"" style=""height: auto; width: 620px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/crypto.png"" width=""620"" loading=""lazy""></p>
<p>Next you’ll choose the token the prize pool will be denominated in and the total prize pool target. Fill out the payment distribution model for the token and click Next Step. After you finish the last step in an automated tournament, you’ll click Finish and a pop up like this will appear to confirm you’re deploying the tournament on the blockchain (In this case, Polygon).</p>
<p><img alt=""wallet"" class=""hs-image-align-none"" height=""403"" style=""height: auto; width: 502px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/wallet.png"" width=""502"" loading=""lazy""></p>
<p><strong>Additional Options</strong></p>
<p>Here is where you will be able to adjust the check-in settings and add any additional registration questions that you would like your competitors to answer.</p>
<p><img alt=""check in"" class=""hs-image-align-none"" height=""167"" style=""height: auto; width: 623px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/check%20in.png"" width=""623"" loading=""lazy""></p>
<p>If you choose to enable the Check-in feature, it will require all players to check-in during the period defined by the ‘Check-in Timer’. Failing to check-in will result in that participant being dropped from the tournament. You will be able to swap no shows in the tournament with participants from the waitlist when competitors fail to check in.</p>
<p>You can set the timer for anywhere from 10 minutes to up to 24 hours before the tournament. A check-in button will be displayed prominently on web and mobile for users to easily check-in once they’re logged in.</p>
<p><img alt=""regis"" class=""hs-image-align-none"" height=""240"" style=""height: auto; width: 618px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/regis.png"" width=""618"" loading=""lazy""></p>
<p>Add additional registration questions. A few common ones are people’s Discord names, Twitter handles, and any other information that is needed for player communication and coordinating matchups. Select if you want the answers to specific questions to be public fields that all other players can see after the tournament starts (like a Discord chat name), or if only you as the organizer can see them.</p>
<p><strong>Final Touches</strong></p>
<p><img alt=""join-1"" class=""hs-image-align-none"" height=""463"" style=""height: auto; width: 618px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/join-1.png"" width=""618"" loading=""lazy""></p>
<p>Now that you have deployed your first tournament, you will be able to edit your event, update the graphics on your custom tournament page. From here is where you’ll also initiate seeding for the bracket and make announcements that will email your message to everyone in the tournament.</p>
<p>We highly recommend adding a cover photo and thumbnail. The ideal dimensions for the thumb nail <strong>350x200px</strong> and for the cover photo <strong>1920x560px</strong>. We recommend keeping your graphics simple with only the required information about the tournament on them.</p>
<p>Once you have made it through these steps your tournament will be LIVE and ready for players to join! If you have any questions about the tournament creation process, please feel free to reach out to any of the Community Gaming staff on <a href=""https://discord.gg/vyZh9HHT8Y"">Discord</a>!</p>",en,https://hubspot.communitygaming.io/help-center/creating/organizing-a-tournament-on-community-gaming,Organizer Support,Tournament Creation
¿Cómo puedo contactar a los organizadores del torneo?,,"Puede visitar la página del torneo, revisar los detalles, la descripción y las reglas del torneo. Los organizadores suelen incluir su información de contacto, que puede incluir Discord, Whatsapp o algún otro medio de comunicación. Discord es una excelente manera de tener una conversación directa con el organizador y obtener las respuestas que necesitas.",es,https://hubspot.communitygaming.io/es/help-center/como-puedo-contactar-a-los-organizadores-del-torneo,Tournament Support,"Ayuda para Organizadores,Community Gaming,Organizador de Torneos,Panel de Organizador"
